ax,ay,az,gx,gy,gz,label
14.0,42.0,67.0,-543.0,-464.0,-317.0,hechizo1
13.0,45.0,70.0,-421.0,610.0,-1050.0,hechizo1
12.0,43.0,76.0,-305.0,1141.0,-1593.0,hechizo1
10.0,43.0,76.0,-201.0,1624.0,-2625.0,hechizo1
8.0,52.0,91.0,909.0,1929.0,-3425.0,hechizo1
3.0,55.0,88.0,-134.0,1209.0,-3694.0,hechizo1
-2.0,66.0,80.0,-73.0,1709.0,-3688.0,hechizo1
-3.0,66.0,95.0,348.0,1832.0,-3181.0,hechizo1
-5.0,66.0,99.0,287.0,934.0,-2845.0,hechizo1
-6.0,62.0,87.0,378.0,421.0,-2607.0,hechizo1
-5.0,73.0,88.0,488.0,464.0,-2473.0,hechizo1
-6.0,71.0,81.0,213.0,305.0,-1966.0,hechizo1
-6.0,80.0,84.0,305.0,677.0,-1697.0,hechizo1
-6.0,83.0,99.0,189.0,201.0,-519.0,hechizo1
-6.0,81.0,107.0,-91.0,-800.0,262.0,hechizo1
-7.0,84.0,110.0,-360.0,-2051.0,1166.0,hechizo1
-7.0,75.0,102.0,-775.0,-3352.0,1941.0,hechizo1
-5.0,74.0,95.0,-763.0,-4006.0,2418.0,hechizo1

10.0,43.0,76.0,-91.0,3566.0,-1667.0,hechizo1
5.0,50.0,72.0,97.0,4757.0,-1954.0,hechizo1
1.0,54.0,96.0,1032.0,5196.0,-2094.0,hechizo1
-2.0,63.0,97.0,225.0,4848.0,-1703.0,hechizo1
-7.0,61.0,105.0,494.0,4403.0,-1477.0,hechizo1
-7.0,73.0,115.0,720.0,3706.0,-842.0,hechizo1
-7.0,63.0,113.0,-195.0,2540.0,-128.0,hechizo1
-5.0,64.0,117.0,24.0,1221.0,183.0,hechizo1
-4.0,73.0,112.0,-732.0,-97.0,769.0,hechizo1
-4.0,67.0,110.0,-702.0,-897.0,1245.0,hechizo1
-4.0,72.0,108.0,-952.0,-2082.0,2094.0,hechizo1
-5.0,70.0,103.0,-812.0,-2607.0,2827.0,hechizo1
-3.0,66.0,105.0,-671.0,-3425.0,3181.0,hechizo1
-3.0,63.0,88.0,-1154.0,-4036.0,3926.0,hechizo1
1.0,51.0,84.0,-512.0,-3535.0,3737.0,hechizo1
7.0,49.0,84.0,-763.0,-3358.0,3682.0,hechizo1
10.0,43.0,72.0,-867.0,-2809.0,3047.0,hechizo1
15.0,44.0,72.0,-708.0,-1880.0,2632.0,hechizo1
18.0,39.0,67.0,-836.0,-946.0,2003.0,hechizo1
21.0,32.0,64.0,-586.0,262.0,952.0,hechizo1
20.0,39.0,64.0,-531.0,1471.0,287.0,hechizo1
17.0,33.0,66.0,42.0,3016.0,-427.0,hechizo1
15.0,46.0,84.0,256.0,3816.0,-1465.0,hechizo1
9.0,46.0,86.0,-360.0,3541.0,-1526.0,hechizo1
4.0,54.0,86.0,-91.0,3914.0,-1887.0,hechizo1
0.0,55.0,87.0,91.0,4372.0,-1685.0,hechizo1
-3.0,58.0,96.0,305.0,4293.0,-1508.0,hechizo1
-6.0,60.0,97.0,-146.0,3951.0,-1123.0,hechizo1
-8.0,67.0,108.0,262.0,3609.0,-1001.0,hechizo1
-8.0,61.0,107.0,-476.0,2400.0,-122.0,hechizo1
-7.0,67.0,112.0,-213.0,1734.0,-183.0,hechizo1
-8.0,68.0,112.0,-683.0,494.0,616.0,hechizo1
-7.0,72.0,116.0,-830.0,-574.0,1251.0,hechizo1
-7.0,73.0,114.0,-1117.0,-1929.0,2149.0,hechizo1
-6.0,71.0,111.0,-1001.0,-3035.0,2680.0,hechizo1
-5.0,64.0,100.0,-1447.0,-4061.0,3633.0,hechizo1
-2.0,55.0,98.0,-1148.0,-4048.0,3633.0,hechizo1
0.0,53.0,93.0,-1429.0,-4659.0,3786.0,hechizo1
4.0,44.0,84.0,-964.0,-4207.0,3291.0,hechizo1
10.0,41.0,82.0,-983.0,-3969.0,2937.0,hechizo1

15.0,50.0,83.0,1056.0,3352.0,-3645.0,hechizo1
12.0,40.0,85.0,268.0,3682.0,-3712.0,hechizo1
7.0,49.0,97.0,177.0,3682.0,-4958.0,hechizo1
2.0,60.0,92.0,-567.0,3230.0,-4574.0,hechizo1
0.0,62.0,107.0,238.0,3230.0,-4390.0,hechizo1
-3.0,73.0,105.0,-140.0,1972.0,-3865.0,hechizo1
-6.0,73.0,98.0,421.0,1569.0,-2851.0,hechizo1
-5.0,70.0,98.0,287.0,1343.0,-1740.0,hechizo1
-5.0,72.0,110.0,439.0,928.0,-1233.0,hechizo1
-5.0,73.0,120.0,-488.0,-549.0,-384.0,hechizo1
-5.0,72.0,122.0,-506.0,-2235.0,409.0,hechizo1
-6.0,68.0,105.0,-848.0,-3548.0,1209.0,hechizo1
-4.0,63.0,98.0,-891.0,-3883.0,1697.0,hechizo1
-1.0,61.0,99.0,-659.0,-4109.0,2051.0,hechizo1
1.0,53.0,99.0,-757.0,-4818.0,2174.0,hechizo1
4.0,51.0,82.0,-1123.0,-4934.0,1972.0,hechizo1
9.0,50.0,74.0,-775.0,-4274.0,1862.0,hechizo1
14.0,44.0,70.0,-629.0,-3224.0,1453.0,hechizo1
18.0,45.0,74.0,-702.0,-2235.0,1025.0,hechizo1
20.0,38.0,73.0,-256.0,-1740.0,567.0,hechizo1
20.0,40.0,64.0,-787.0,-812.0,-305.0,hechizo1
20.0,34.0,67.0,12.0,641.0,-1025.0,hechizo1
18.0,41.0,73.0,-116.0,1569.0,-1868.0,hechizo1
15.0,42.0,84.0,-79.0,2119.0,-2357.0,hechizo1
12.0,40.0,89.0,305.0,1960.0,-3157.0,hechizo1
5.0,49.0,84.0,555.0,2058.0,-3737.0,hechizo1
0.0,42.0,71.0,-116.0,2491.0,-4061.0,hechizo1
-1.0,56.0,86.0,989.0,3719.0,-4720.0,hechizo1
-3.0,68.0,103.0,134.0,2980.0,-4512.0,hechizo1
-5.0,75.0,111.0,1099.0,1728.0,-3932.0,hechizo1
-7.0,82.0,103.0,158.0,519.0,-2919.0,hechizo1
-10.0,84.0,104.0,1172.0,73.0,-1789.0,hechizo1
-9.0,81.0,111.0,677.0,-1111.0,-415.0,hechizo1
-8.0,80.0,110.0,213.0,-2137.0,329.0,hechizo1
-8.0,83.0,110.0,-317.0,-3499.0,1526.0,hechizo1
-8.0,81.0,101.0,-500.0,-4567.0,2442.0,hechizo1
-5.0,73.0,90.0,-903.0,-5184.0,3523.0,hechizo1
0.0,61.0,79.0,-775.0,-4977.0,3670.0,hechizo1
6.0,54.0,72.0,-1068.0,-4555.0,3377.0,hechizo1
11.0,47.0,65.0,-879.0,-3719.0,2961.0,hechizo1

15.0,57.0,68.0,-140.0,2809.0,-3896.0,hechizo1
10.0,52.0,71.0,-616.0,2967.0,-4201.0,hechizo1
5.0,67.0,76.0,-525.0,3413.0,-5105.0,hechizo1
-1.0,76.0,82.0,-708.0,3206.0,-4567.0,hechizo1
-6.0,75.0,86.0,-109.0,3108.0,-4372.0,hechizo1
-7.0,87.0,94.0,0.0,2503.0,-3535.0,hechizo1
-9.0,86.0,94.0,-158.0,1514.0,-2589.0,hechizo1
-8.0,83.0,93.0,287.0,1007.0,-1636.0,hechizo1
-5.0,87.0,98.0,24.0,30.0,-1154.0,hechizo1
-7.0,83.0,99.0,-219.0,-1166.0,-299.0,hechizo1
-7.0,89.0,100.0,-390.0,-2241.0,451.0,hechizo1
-8.0,86.0,97.0,-745.0,-3395.0,1355.0,hechizo1
-8.0,79.0,91.0,-665.0,-4079.0,2161.0,hechizo1
-4.0,78.0,83.0,-1056.0,-4708.0,2796.0,hechizo1
0.0,65.0,71.0,-983.0,-4354.0,2894.0,hechizo1
2.0,62.0,67.0,-793.0,-3877.0,2448.0,hechizo1
7.0,56.0,57.0,-567.0,-2943.0,2143.0,hechizo1
12.0,51.0,57.0,-384.0,-1703.0,1258.0,hechizo1
13.0,47.0,58.0,-506.0,-751.0,360.0,hechizo1
15.0,40.0,56.0,-415.0,586.0,-958.0,hechizo1
12.0,48.0,62.0,-415.0,1538.0,-2369.0,hechizo1
6.0,59.0,72.0,-134.0,2216.0,-3120.0,hechizo1
2.0,50.0,77.0,79.0,2186.0,-3535.0,hechizo1
-1.0,64.0,78.0,818.0,2424.0,-4818.0,hechizo1
-3.0,78.0,98.0,726.0,1880.0,-4195.0,hechizo1
-7.0,81.0,91.0,-189.0,476.0,-3761.0,hechizo1
-9.0,87.0,81.0,-73.0,268.0,-2790.0,hechizo1
-8.0,80.0,83.0,152.0,360.0,-2125.0,hechizo1
-8.0,88.0,83.0,-146.0,30.0,-1312.0,hechizo1
-8.0,87.0,90.0,-91.0,-219.0,-659.0,hechizo1
-7.0,93.0,99.0,-464.0,-1135.0,390.0,hechizo1
-7.0,95.0,104.0,-861.0,-2375.0,1856.0,hechizo1
-7.0,87.0,100.0,-1184.0,-3743.0,2699.0,hechizo1
-6.0,86.0,93.0,-1184.0,-4751.0,3658.0,hechizo1
-4.0,75.0,83.0,-1123.0,-5398.0,4103.0,hechizo1
0.0,67.0,70.0,-1056.0,-5343.0,4262.0,hechizo1
5.0,52.0,53.0,-751.0,-4329.0,3792.0,hechizo1
13.0,50.0,54.0,-213.0,-2613.0,2906.0,hechizo1
20.0,49.0,63.0,-341.0,-1667.0,1825.0,hechizo1
21.0,54.0,64.0,-293.0,-1166.0,1099.0,hechizo1

9.0,60.0,69.0,-1172.0,1563.0,-3248.0,hechizo1
6.0,57.0,68.0,-970.0,1954.0,-3572.0,hechizo1
0.0,68.0,69.0,-989.0,2473.0,-4836.0,hechizo1
0.0,71.0,72.0,-696.0,2894.0,-4085.0,hechizo1
-7.0,91.0,90.0,-567.0,3132.0,-4769.0,hechizo1
-10.0,93.0,99.0,-1148.0,1642.0,-2308.0,hechizo1
-7.0,72.0,94.0,-555.0,787.0,-2021.0,hechizo1
-4.0,69.0,91.0,73.0,-103.0,-2235.0,hechizo1
-6.0,85.0,84.0,-189.0,-616.0,-1868.0,hechizo1
-5.0,86.0,94.0,158.0,-512.0,-1196.0,hechizo1
-7.0,99.0,108.0,-549.0,-1948.0,140.0,hechizo1
-10.0,90.0,100.0,-360.0,-3316.0,1477.0,hechizo1
-7.0,83.0,89.0,-421.0,-4177.0,2625.0,hechizo1
-3.0,69.0,80.0,-354.0,-4360.0,2644.0,hechizo1
-1.0,69.0,74.0,-311.0,-4415.0,2729.0,hechizo1
2.0,58.0,63.0,-262.0,-4024.0,2430.0,hechizo1
6.0,53.0,56.0,-305.0,-3145.0,1716.0,hechizo1
9.0,46.0,56.0,-73.0,-1795.0,665.0,hechizo1
12.0,45.0,59.0,-299.0,-952.0,-580.0,hechizo1
12.0,49.0,66.0,-79.0,18.0,-1880.0,hechizo1
8.0,60.0,69.0,-598.0,-12.0,-2858.0,hechizo1
4.0,60.0,57.0,-629.0,848.0,-2900.0,hechizo1
3.0,60.0,68.0,-195.0,1880.0,-3731.0,hechizo1
0.0,63.0,76.0,-354.0,1941.0,-4018.0,hechizo1
-3.0,77.0,83.0,-232.0,1654.0,-4274.0,hechizo1
-8.0,85.0,89.0,48.0,1154.0,-3670.0,hechizo1
-10.0,84.0,83.0,-30.0,366.0,-2613.0,hechizo1
-9.0,75.0,75.0,433.0,531.0,-2393.0,hechizo1
-8.0,83.0,86.0,537.0,244.0,-2064.0,hechizo1
-10.0,86.0,87.0,396.0,-262.0,-1398.0,hechizo1
-9.0,101.0,99.0,232.0,-958.0,-390.0,hechizo1
-10.0,100.0,108.0,-134.0,-2595.0,1319.0,hechizo1
-10.0,98.0,92.0,-531.0,-4116.0,2705.0,hechizo1
-8.0,85.0,83.0,-287.0,-4720.0,3774.0,hechizo1
-4.0,80.0,74.0,-238.0,-4842.0,4152.0,hechizo1
-1.0,68.0,65.0,-177.0,-4635.0,4244.0,hechizo1
5.0,63.0,60.0,-256.0,-4054.0,4042.0,hechizo1
11.0,53.0,51.0,-122.0,-3151.0,3212.0,hechizo1
16.0,55.0,50.0,6.0,-1899.0,2161.0,hechizo1
19.0,57.0,53.0,-122.0,-787.0,1361.0,hechizo1

3.0,60.0,66.0,-928.0,2222.0,-3932.0,hechizo1
0.0,68.0,82.0,103.0,2961.0,-4366.0,hechizo1
-4.0,80.0,90.0,-793.0,1978.0,-3774.0,hechizo1
-5.0,70.0,77.0,-842.0,1685.0,-3743.0,hechizo1
-7.0,83.0,81.0,-629.0,1887.0,-3218.0,hechizo1
-6.0,69.0,84.0,122.0,2051.0,-2894.0,hechizo1
